,Tot,C,P,G,N,"T
","Incident[nb 1]
","Aircraft
","Location
","Phase
","Airport
","Distance
","Date
"
497,104,19,102,0,3,0,214,194,439,3,0,0,9
498,104,19,102,0,3,0,145,194,113,3,0,0,8
499,104,1,0,22,3,5,412,184,113,3,0,0,2
500,102,12,103,0,0,0,154,316,47,5,140,62,415
501,102,17,102,0,3,1,434,166,368,0,98,119,409
502,102,19,95,25,3,5,302,336,4,0,78,25,376
503,102,21,100,0,3,1,157,34,21,3,0,0,322
504,102,22,99,0,3,0,15,32,396,3,0,0,234
505,102,21,100,0,3,0,325,220,37,0,23,66,223
506,102,19,101,0,3,0,60,31,402,0,217,101,174
507,102,22,99,0,3,3,175,197,0,3,0,0,108
508,102,4,93,0,3,0,66,337,64,5,216,57,72
509,102,24,97,0,3,0,542,237,165,3,0,0,63
510,102,23,30,16,3,5,492,173,168,3,0,0,61
511,102,17,102,0,0,0,478,197,138,0,29,56,35
512,102,3,94,0,3,5,490,186,414,3,0,0,26
513,102,0,106,0,0,0,378,194,458,3,0,0,24
514,102,4,93,0,3,0,85,246,39,3,0,0,12
515,102,21,100,0,3,0,514,195,461,3,0,0,11
516,102,20,1,0,3,5,237,334,222,14,0,0,0
517,101,19,100,0,0,0,504,161,237,6,105,0,542
518,101,19,58,15,0,0,336,34,126,10,64,42,504
519,101,22,98,0,3,5,75,35,277,0,210,31,443
520,101,21,99,0,1,0,276,211,111,0,41,77,407
521,101,19,100,0,3,0,59,332,308,0,127,51,374
522,101,22,98,0,1,0,103,31,7,5,206,68,314
523,101,22,98,0,3,0,430,310,328,3,0,0,281
524,101,22,98,0,3,0,20,312,313,3,0,0,208
525,101,25,95,0,3,0,377,50,475,0,31,118,142
526,101,21,99,0,1,0,141,180,36,0,129,20,48
527,101,23,97,0,3,0,384,255,71,3,0,0,17
528,100,22,97,0,3,0,465,126,237,6,109,0,525
529,100,19,98,1,3,0,195,160,448,0,27,28,509
530,100,33,161,0,3,5,442,35,375,3,0,0,453
531,100,22,97,0,3,0,437,32,306,3,0,0,434
532,100,19,99,0,3,0,389,230,288,0,15,40,338
533,100,4,92,0,1,0,524,49,118,0,2,38,334
534,100,21,98,0,3,0,160,313,75,0,189,72,307
